Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2004,5605.00,6129.00,1281.00,2089.00,78973075,3362269,224495863425.00,21294853,26.96,4848.00,-3516.00,
2005,2099.00,3039.70,1850.00,2996.75,66969515,1833450,153917188937.00,22156032,33.08,1189.70,897.75,
2006,3000.00,3400.00,1572.10,2240.50,65647771,2299332,163019088826.00,30452006,46.39,1827.90,-759.50,
2007,2242.00,2439.00,1511.15,1768.40,75165967,2723742,147024119391.00,38463412,51.17,927.85,-473.60,
2008,1758.00,2017.00,1040.00,1117.85,83427898,3001430,129119432076.00,31787479,38.10,977.00,-640.15,
2009,1125.00,2614.90,1101.00,2605.25,51497575,1731104,88389267184.00,18366366,35.66,1513.90,1480.25,
2010,2606.00,3454.00,2333.00,3445.00,28057298,1196339,78659605863.00,9653427,34.41,1121.00,839.00,
2011,3449.00,3493.95,2169.00,2765.05,35675773,2075057,99455191553.00,10339898,28.98,1324.95,-683.95,
2012,2763.90,2990.00,2101.65,2318.50,32105702,1800131,79407466174.00,11906323,37.08,888.35,-445.40,
2013,2325.10,3575.00,2190.00,3485.50,27854908,1777672,77554042700.00,11686456,41.95,1385.00,1160.40,
2014,3491.00,4401.00,1898.00,1971.20,25483082,2265332,77387104419.00,12212891,47.93,2503.00,-1519.80,
2015,1967.80,2335.20,932.55,1095.85,44017233,2212593,66824317239.00,19170626,43.55,1402.65,-871.95,
2016,1100.00,1278.00,900.30,1010.70,62574167,1849498,68702102951.00,34466921,55.08,377.70,-89.30,
2017,1012.00,1046.10,861.50,1039.30,88291763,1958919,83850666155.00,40754510,46.16,184.60,27.30,
2018,1040.00,1467.00,600.65,659.85,98342426,1743429,95573563392.00,46321883,47.10,866.35,-380.15,
2019,661.00,847.40,615.00,731.75,128186279,2250148,92428935722.00,67440031,52.61,232.40,70.75,
2020,733.60,1265.00,511.10,1255.85,125521837,2957888,110058310162.00,60479242,48.18,753.90,522.25,
2021,1258.95,1913.00,1230.00,1889.65,108556069,3089374,162078893681.00,68018839,62.66,683.00,630.70,
2022,1890.00,1953.70,1355.50,1508.70,106174808,4354129,166450601296.00,71717790,67.55,598.20,-381.30,
2023,1513.00,1620.00,1444.00,1471.35,12351902,686423,18929734138.00,8684122,70.31,176.00,-41.65,
